date,teamId,team,teamName,metric_path,value
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].toiAll,17333.0
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedAll.imperial,42.4808
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedAll.metric,68.3661
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].toiEven,11373.0
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedEven.imperial,29.5507
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedEven.metric,47.5571
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].toiPP,3104.0
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedPP.imperial,7.0788
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedPP.metric,11.3923
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].toiPK,2856.0
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedPK.imperial,5.8513
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedPK.metric,9.4167
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].toiAll,17672.0
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedAll.imperial,46.8056
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedAll.metric,75.3262
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].toiEven,15914.0
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedEven.imperial,42.8474
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedEven.metric,68.9561
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].toiPP,710.0
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedPP.imperial,1.7528
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedPP.metric,2.8209
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].toiPK,1048.0
2026-03-13,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedPK.imperial,2.2054
