date,teamId,team,teamName,metric_path,value
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[5].distanceSkatedEven.imperial,43.2407
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[5].distanceSkatedEven.metric,69.5889
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[5].toiPP,860.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[5].distanceSkatedPP.imperial,2.1619
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[5].distanceSkatedPP.metric,3.4792
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[5].toiPK,840.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[5].distanceSkatedPK.imperial,1.8723
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[5].distanceSkatedPK.metric,3.0132
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[6].toiAll,18660.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[6].distanceSkatedAll.imperial,49.4808
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[6].distanceSkatedAll.metric,79.6315
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[6].toiEven,17100.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[6].distanceSkatedEven.imperial,45.9693
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[6].distanceSkatedEven.metric,73.9802
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[6].toiPP,600.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[6].distanceSkatedPP.imperial,1.6511
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[6].distanceSkatedPP.metric,2.6572
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[6].toiPK,960.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[6].distanceSkatedPK.imperial,1.8604
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[6].distanceSkatedPK.metric,2.994
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[7].toiAll,17571.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[7].distanceSkatedAll.imperial,45.8024
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[7].distanceSkatedAll.metric,73.7116
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[7].toiEven,15028.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[7].distanceSkatedEven.imperial,39.6799
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[7].distanceSkatedEven.metric,63.8585
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[7].toiPP,1200.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[7].distanceSkatedPP.imperial,3.0949
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[7].distanceSkatedPP.metric,4.9807
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[7].toiPK,1343.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[7].distanceSkatedPK.imperial,3.0276
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[7].distanceSkatedPK.metric,4.8724
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[8].toiAll,18206.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[8].distanceSkatedAll.imperial,46.7334
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[8].distanceSkatedAll.metric,75.2099
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[8].toiEven,14169.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[8].distanceSkatedEven.imperial,37.5659
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[8].distanceSkatedEven.metric,60.4563
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[8].toiPP,1680.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[8].distanceSkatedPP.imperial,4.1594
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[8].distanceSkatedPP.metric,6.694
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[8].toiPK,2357.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[8].distanceSkatedPK.imperial,5.0081
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[8].distanceSkatedPK.metric,8.0597
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[9].toiAll,18420.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[9].distanceSkatedAll.imperial,49.8437
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[9].distanceSkatedAll.metric,80.2155
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[9].toiEven,15780.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[9].distanceSkatedEven.imperial,43.557
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[9].distanceSkatedEven.metric,70.0981
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[9].toiPP,1200.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[9].distanceSkatedPP.imperial,3.1366
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[9].distanceSkatedPP.metric,5.0478
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[9].toiPK,1440.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[9].distanceSkatedPK.imperial,3.1501
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceLast10[9].distanceSkatedPK.metric,5.0696
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceTotal.imperial,2594.8191
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceTotal.metric,4175.7527
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceTotal.rank,13.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceTotal.leagueAvg.imperial,2578.1005
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distanceTotal.leagueAvg.metric,4148.8482
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distancePer60.imperial,9.3333
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distancePer60.metric,15.0197
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distancePer60.rank,4.0
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distancePer60.leagueAvg.imperial,9.1597
2026-02-26,24,ANA,Anaheim Ducks,skatingDistanceDetails[0].distancePer60.leagueAvg.metric,14.7403
