date,teamId,team,teamName,metric_path,value
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].toiAll,18690.0
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedAll.imperial,46.9866
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedAll.metric,75.6174
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].toiEven,16550.0
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedEven.imperial,42.0987
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedEven.metric,67.7512
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].toiPP,660.0
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedPP.imperial,1.6103
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedPP.metric,2.5915
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].toiPK,1480.0
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedPK.imperial,3.2776
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedPK.metric,5.2747
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].toiAll,17605.0
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedAll.imperial,43.2307
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedAll.metric,69.5728
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].toiEven,13791.0
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedEven.imperial,34.4633
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedEven.metric,55.4632
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].toiPP,2010.0
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedPP.imperial,5.0418
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedPP.metric,8.114
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].toiPK,1804.0
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedPK.imperial,3.7255
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedPK.metric,5.9957
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[2].toiAll,17725.0
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[2].distanceSkatedAll.imperial,46.5387
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[2].distanceSkatedAll.metric,74.8967
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[2].toiEven,14745.0
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[2].distanceSkatedEven.imperial,39.1742
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[2].distanceSkatedEven.metric,63.0446
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[2].toiPP,1800.0
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[2].distanceSkatedPP.imperial,4.7727
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[2].distanceSkatedPP.metric,7.6809
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[2].toiPK,1180.0
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[2].distanceSkatedPK.imperial,2.5918
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[2].distanceSkatedPK.metric,4.1711
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[3].toiAll,18580.0
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[3].distanceSkatedAll.imperial,48.9037
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[3].distanceSkatedAll.metric,78.7026
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[3].toiEven,15015.0
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[3].distanceSkatedEven.imperial,40.7771
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[3].distanceSkatedEven.metric,65.6242
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[3].toiPP,2185.0
2026-03-07,24,ANA,Anaheim Ducks,skatingDistanceLast10[3].distanceSkatedPP.imperial,5.4221
