date,teamId,team,teamName,metric_path,value
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].toiAll,17672.0
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedAll.imperial,46.8056
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedAll.metric,75.3262
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].toiEven,15914.0
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedEven.imperial,42.8474
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedEven.metric,68.9561
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].toiPP,710.0
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedPP.imperial,1.7528
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedPP.metric,2.8209
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].toiPK,1048.0
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedPK.imperial,2.2054
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[0].distanceSkatedPK.metric,3.5492
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].toiAll,17637.0
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedAll.imperial,46.079
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedAll.metric,74.1568
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].toiEven,13163.0
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedEven.imperial,34.6671
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedEven.metric,55.7912
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].toiPP,3014.0
2026-03-12,24,ANA,Anaheim Ducks,skatingDistanceLast10[1].distanceSkatedPP.imperial,8.1281
